#icon				data/chars/tyris/icon_default_0.png 1
#iconpain			data/chars/tyris/icon_pain_0.png 1
name				Tyris_Flare
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0070
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0069
	bbox	53 51 18 44
	delay	4
	frame	data/chars/tyris/0071.png
	frame	data/chars/tyris/0072.png
	frame	data/chars/tyris/0073.png
	frame	data/chars/tyris/0074.png
	frame	data/chars/tyris/0075.png
	frame	data/chars/tyris/0075.png
	frame	data/chars/tyris/0082.png

anim	attackdown
	loop	1 8 12
	jumpframe	1 3 -0.5 1 jump_liftoff
	landframe	13 jump_land
	offset	60 98
	delay	8
	frame	data/chars/tyris/0065.png
	frame	data/chars/tyris/0066.png
	frame	data/chars/tyris/0098.png
	frame	data/chars/tyris/0016.png
	frame	data/chars/tyris/0015.png
	frame	data/chars/tyris/0014.png
	frame	data/chars/tyris/0013.png
	bbox	52 44 19 50
	delay	5
	frame	data/chars/tyris/0067
	frame	data/chars/tyris/0068
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0070
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0069
	delay	6
	bbox	51 53 20 45
	frame	data/chars/tyris/0071
	frame	data/chars/tyris/0072
	frame	data/chars/tyris/0073
	frame	data/chars/tyris/0074
	frame	data/chars/tyris/0075
	frame	data/chars/tyris/0082

anim	attackup
	loop	1 8 12
	jumpframe	1 3 -0.5 -1 jump_liftoff
	landframe	13 jump_land
	offset	60 98
	delay	8
	frame	data/chars/tyris/0065.png
	frame	data/chars/tyris/0066.png
	frame	data/chars/tyris/0098.png
	frame	data/chars/tyris/0016.png
	frame	data/chars/tyris/0015.png
	frame	data/chars/tyris/0014.png
	frame	data/chars/tyris/0013.png
	bbox	52 44 19 50
	delay	5
	frame	data/chars/tyris/0067
	frame	data/chars/tyris/0068
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0070
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0069
	delay	6
	bbox	51 53 20 45
	frame	data/chars/tyris/0071
	frame	data/chars/tyris/0072
	frame	data/chars/tyris/0073
	frame	data/chars/tyris/0074
	frame	data/chars/tyris/0075
	frame	data/chars/tyris/0082

anim	block
	delay	5
	offset	60 98
	bbox	40 49 24 49
	frame	data/chars/tyris/0082.png
	frame	data/chars/tyris/0050.png
	frame	data/chars/tyris/0029.png
	delay	25
	frame	data/chars/tyris/0048.png
	delay	5
	frame	data/chars/tyris/0082.png

anim	bpain
	offset	60 98
	bbox	40 40 38 60
	delay	20
	frame	data/chars/tyris/0115
	delay	100
	frame	data/chars/tyris/0116

anim	burn
	landframe	3
	dropframe	1
	offset	60 98
	delay	10
	frame	data/chars/tyris/0115
	burn	45 58 24 24 8 1
	forcedirection	1
	delay	30
	frame	data/chars/tyris/0051
	delay	-1000
	frame	data/chars/tyris/0052
	attack1	0 0 0 0 0
	delay	10
	frame	data/chars/tyris/0049

#anim	chargeattack

anim	fall
	landframe	3
	dropframe	1
	offset	60 98
	delay	10
	frame	data/chars/tyris/0115
	attack1	45 58 24 24 4 1
	forcedirection	1
	delay	30
	frame	data/chars/tyris/0051
	delay	-1000
	frame	data/chars/tyris/0052
	attack1	0 0 0 0 0
	delay	10
	frame	data/chars/tyris/0049

anim	follow10
	flipframe	0
	loop	1 7 19
	jumpframe	6 1 3 0
	landframe	20 jump_land
	hitflash	flash_cut_vertical_knockdown
	offset	60 98
	bbox	0
	delay	3
	@cmd	velo0003 0 10000000
	@cmd	bind0008 "landmw" "landmw" 0 1 10 30 1 1 0 0 1
	frame	data/chars/tyris/0171.png
	frame	data/chars/tyris/0171.png
	frame	data/chars/tyris/0172.png
	frame	data/chars/tyris/0173.png
	frame	data/chars/tyris/0174.png
	frame	data/chars/tyris/0175.png
	offset	60 100
	bbox	48 48 20 37
	attack10	64 39 12 58 8 2
	@cmd	velo0003 0 0
	@cmd	bind0008 "jumpmw" "jumpmw" 0 1 -1 1 0 0 1
	@cmd	bind0003 "tyri0001" "blur" -1 1 0 0 1 1 7
	@cmd	soun0005 ENT_SELF VOI_ATKH -1 1 0 0
	frame	data/chars/tyris/0167.png
	@cmd	soun0005 ENT_SELF SND_WIFFL -1 1 0 0
	frame	data/chars/tyris/0159.png
	frame	data/chars/tyris/0160.png
	frame	data/chars/tyris/0161.png
	frame	data/chars/tyris/0162.png
	@cmd	soun0005 ENT_SELF SND_WIFFL -1 1 0 0
	frame	data/chars/tyris/0163.png
	frame	data/chars/tyris/0164.png
	frame	data/chars/tyris/0165.png
	frame	data/chars/tyris/0166.png
	@cmd	soun0005 ENT_SELF SND_WIFFL -1 1 0 0
	frame	data/chars/tyris/0167.png
	frame	data/chars/tyris/0168.png
	frame	data/chars/tyris/0169.png
	frame	data/chars/tyris/0170.png
	frame	data/chars/tyris/0170.png
	offset	60 98
	Attack	0
	bbox	51 52 21 44
	delay	6
	frame	data/chars/tyris/0071.png
	frame	data/chars/tyris/0072.png
	frame	data/chars/tyris/0073.png
	frame	data/chars/tyris/0074.png
	frame	data/chars/tyris/0075.png
	frame	data/chars/tyris/0082.png

anim	follow12
	offset	60 98
	delay	10
	frame	data/chars/tyris/0029.png
	frame	data/chars/tyris/0021.png
	frame	data/chars/tyris/0082.png

anim	follow2
	hitflash	hith
	jumpframe	0 1 0
	loop	1 1 5
	dropframe	6
	counterattack	1
	landframe	10 jump_land
	offset	60 98
	bbox	38 57 25 38
	delay	1
	attack1	58 74 32 15 6 1
	frame	data/chars/tyris/0092
	attack	0
	delay	4
	frame	data/chars/tyris/0092
	frame	data/chars/tyris/0093
	frame	data/chars/tyris/0094
	frame	data/chars/tyris/0094
	delay	6
	frame	data/chars/tyris/0092
	frame	data/chars/tyris/0094
	frame	data/chars/tyris/0095
	frame	data/chars/tyris/0096
	delay	-1000
	frame	data/chars/tyris/0097
	delay	6
	bbox	51 53 20 45
	move	-10
	frame	data/chars/tyris/0071
	move	0
	frame	data/chars/tyris/0072
	frame	data/chars/tyris/0073
	frame	data/chars/tyris/0074
	frame	data/chars/tyris/0075
	frame	data/chars/tyris/0082

anim	follow3
	offset	60 98
	bbox	48 44 22 54
	delay	6
	attack10	66 57 29 15 2
	@cmd	bind0003 "tyri0001" "blur" -1 1 0 0 1 1 7
	frame	data/chars/tyris/0021
	frame	data/chars/tyris/0022
	attack1	0
	delay	2
	frame	data/chars/tyris/0023
	frame	data/chars/tyris/0023
	frame	data/chars/tyris/0023
	frame	data/chars/tyris/0024
	frame	data/chars/tyris/0024
	frame	data/chars/tyris/0024
	frame	data/chars/tyris/0025
	frame	data/chars/tyris/0025
	delay	100
	idle	1
	frame	data/chars/tyris/0025
	delay	8
	frame	data/chars/tyris/0027
	frame	data/chars/tyris/0021
	frame	data/chars/tyris/0019
	frame	data/chars/tyris/0018

anim	follow10
	loop	1
	delay	-1000
	offset	100 0
	bbox	81 132 27 38
	attack1	81 131 27 39 4 1 1 1
	forcedirection	-1
		frame	data/chars/tyris/G_HELD.png					#0	G_HELD: 	Grabbed.
	bbox	80 116 23 54
	attack1	80 114 25 56 4 1 1 1
		frame	data/chars/tyris/G_HELDP.png					#1	G_HELDP:	Grabbed Pain.
	bbox	66 146 58 21
	attack1	65 146 59 21 4 1 1 1
		frame	data/chars/tyris/G_HORUP.png					#2	G_HORUP:	Horizontal Up.
	bbox	65 141 49 26
	attack1	66 138 48 30 4 1 1 1
		frame	data/chars/tyris/G_HORDN.png					#3	G_HORDN:	Horizontal Down.
	bbox	76 93 23 58
	attack1	76 92 22 59 4 1 1 1
		frame	data/chars/tyris/G_VERUP.png					#4	G_VERUP:	Vertical Up.
		frame	data/chars/tyris/G_VERDN.png					#5	G_VERDN:	Vertical Down.
	bbox	68 125 42 26
	attack1	68 124 43 28 4 1 1 1
		frame	data/chars/tyris/G_TLTUP.png					#6	G_TLTUP:	Tilt Up.
	bbox	77 104 27 35
	attack1	77 102 27 38 4 1 1 1
		frame	data/chars/tyris/G_TLTDN.png					#7	G_TLTDN:	Tilt Down.
		frame	data/chars/tyris/G_VERDNP.png					#8	G_VERDNP:	Vertical Down pain.
	bbox	61 152 60 16
	attack1	61 152 60 16 4 1 1 1
		frame	data/chars/tyris/G_DWNUP.png					#9	G_DWNUP:	Fall Up.
		frame	data/chars/tyris/G_DWNUPP.png					#10	G_DWNUPP:	Fall Up Pain.
	bbox	70 125 22 44
	attack1	69 124 22 45 4 1 1 1
		frame	data/chars/tyris/G_FALUP.png					#11	G_FALUP:	Falling face up
		frame	data/chars/tyris/G_FALUPT.png					#12	G_FALUPT:	Falling face up tilted.
	bbox	64 141 39 25
	attack1	63 141 39 26 4 1 1 1
		frame	data/chars/tyris/G_HORUPP.png					#13	G_HORUPP:	Horizontal Up Pain.
	bbox	83 120 18 49
	attack1	83 120 18 49 4 1 1 1
		frame	data/chars/tyris/G_HELDMP.png					#14	G_HELDMP:	Middle pain.
	offset	60 98
		frame	data/chars/tyris/0115						#15	G_EX1:	G_HELDP with pain offset.
		frame	data/chars/tyris/0116						#16	G_EX2:	G_HELDMP with pain offset.
	offset	100 0
		frame	data/chars/tyris/G_EX3						#17 G_EX3:	Golden Axe lifted.

anim	follow54

	#AC_DBJMP

	#jumpframe 0 3.5 0.1 0

	loop	1 1 6
	dropframe	1
	offset	60 98
	delay	-1000
	bbox	49 38 16 37
	frame	data/chars/tyris/0066
	bbox	52 44 19 50
	delay	5
	frame	data/chars/tyris/0067
	frame	data/chars/tyris/0068
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0070
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0069

anim	follow57
	range	-30 40
	rangea	-50 1
	loop	1 10 15
	dropframe	5
	jumpframe	4 4 1.5 0 jump_liftoff
	landframe	19	jump_land
	offset	60 98
	bbox	0
	delay	3
	@cmd	velo0003 0 10000000
	@cmd	bind0008 "jump_land" "jump_land" 0 1 -5 25 1 1 0 0 1
	@cmd	bind0010 FLAG_MODE_6 ENT_SELF 0 1 -18 -1 DIR_ADJ_OPP openborconstant("ANI_FOLLOW10") G_EX2 -1
	frame	data/chars/tyris/0190.png
	frame	data/chars/tyris/0191.png
	frame	data/chars/tyris/0192.png
	@cmd	bind0010 FLAG_MODE_6 ENT_SELF 0 1 -18 -1 DIR_ADJ_OPP openborconstant("ANI_FOLLOW10") G_RELEASE -1
	frame	data/chars/tyris/0193.png
	@cmd	velo0003 0 0
	@cmd	soun0005 ENT_SELF VOI_ATKL -1 1 0 0
	@cmd    dama0004 0 -2 -18 0 openborconstant("ATK_NORMAL2") 0 0 0 0 0 0 0 0								#Apply damage.
	delay	-1000
	frame	data/chars/tyris/0066
	delay	6
	frame	data/chars/tyris/0013
	frame	data/chars/tyris/0014
	frame	data/chars/tyris/0015
	frame	data/chars/tyris/0016
	frame	data/chars/tyris/0017
	offset	60 98
	delay	5
	bbox	52 44 19 50
	@cmd	jump0003 0 0 0
	frame	data/chars/tyris/0067
	frame	data/chars/tyris/0068
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0070
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0069
	offset	60 98
	Attack	0
	bbox	51 52 21 44
	delay	6
	frame	data/chars/tyris/0071.png
	frame	data/chars/tyris/0072.png
	frame	data/chars/tyris/0073.png
	frame	data/chars/tyris/0074.png
	frame	data/chars/tyris/0075.png
	frame	data/chars/tyris/0082.png

anim	follow58
	flipframe	0
	loop	1 11 16
	jumpframe	6 2.5 1.5 0
	landframe	20	jump_land
	offset	60 98
	bbox	0
	delay	3
	@cmd	velo0003 0 10000000
	@cmd	bind0008 "landmw" "landmw" 0 1 10 30 1 1 0 0 1
	frame	data/chars/tyris/0171.png
	frame	data/chars/tyris/0171.png
	frame	data/chars/tyris/0172.png
	frame	data/chars/tyris/0173.png
	frame	data/chars/tyris/0174.png
	frame	data/chars/tyris/0175.png
	offset	60 100
	@cmd	velo0003 0 0
	@cmd	bind0008 "jumpmw" "jumpmw" 0 1 -1 1 0 0 1
	@cmd	soun0005 ENT_SELF VOI_ATKL -1 1 0 0
	delay	6
	frame	data/chars/tyris/0013
	frame	data/chars/tyris/0014
	frame	data/chars/tyris/0015
	frame	data/chars/tyris/0016
	frame	data/chars/tyris/0017
	offset	60 98
	delay	5
	bbox	52 44 19 50
	@cmd	jump0003 0 0 0
	frame	data/chars/tyris/0067
	frame	data/chars/tyris/0068
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0070
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0069
	offset	60 98
	Attack	0
	bbox	51 52 21 44
	delay	6
	frame	data/chars/tyris/0071.png
	frame	data/chars/tyris/0072.png
	frame	data/chars/tyris/0073.png
	frame	data/chars/tyris/0074.png
	frame	data/chars/tyris/0075.png
	frame	data/chars/tyris/0082.png

anim	freespecial2
	jumpframe	1 0 -1.5 0 jump_liftoff
	offset	60 98
	delay	8
	frame	data/chars/tyris/0189.png
	frame	data/chars/tyris/0183.png
	frame	data/chars/tyris/0186.png
	frame	data/chars/tyris/0184.png
	frame	data/chars/tyris/0187.png
	frame	data/chars/tyris/0185.png
	move	0
	frame	data/chars/tyris/0188.png

anim	freespecial3

	range	80 175

		offset	60 98
		delay	10
		bbox	50 44 18 53
	frame	data/chars/tyris/0018.png
	frame	data/chars/tyris/0019.png
	frame	data/chars/tyris/0180.png
		delay	6
	frame	data/chars/tyris/0182.png
		@cmd	soun0005 ENT_SELF VOI_ATKH -1 1 0 0
	frame	data/chars/tyris/0021.png
		@cmd	proj0003 "tyri0002" 15 35 -1 1 0 0
		delay	10
	frame	data/chars/tyris/0177.png
	frame	data/chars/tyris/0178.png
		delay	-1000
	frame	data/chars/tyris/0179.png
		delay	10
	frame	data/chars/tyris/0029.png
	frame	data/chars/tyris/0021.png
	frame	data/chars/tyris/0082.png

anim	freespecial22
	loop	1 1 5
	landframe	6 jump_land
	offset	60 98
	bbox	52 44 19 50
	delay	5
	frame	data/chars/tyris/0067
	frame	data/chars/tyris/0068
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0070
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0069
	delay	6
	bbox	51 53 20 45
	frame	data/chars/tyris/0071
	frame	data/chars/tyris/0072
	frame	data/chars/tyris/0073
	frame	data/chars/tyris/0074
	frame	data/chars/tyris/0075
	frame	data/chars/tyris/0082

anim	freespecial8
	energycost	9
	mponly	1
	loop	0
	offset	60 98
	delay	16
	frame	data/chars/tyris/0128
	delay	10
	frame	data/chars/tyris/0129
	frame	data/chars/tyris/0129
	frame	data/chars/tyris/0129
	frame	data/chars/tyris/0129
	frame	data/chars/tyris/0129
	frame	data/chars/tyris/0129
	frame	data/chars/tyris/0129
	frame	data/chars/tyris/0129
	frame	data/chars/tyris/0129
	frame	data/chars/tyris/0129
	frame	data/chars/tyris/0129
	frame	data/chars/tyris/0129
	frame	data/chars/tyris/0129
	frame	data/chars/tyris/0129
	frame	data/chars/tyris/0129
	frame	data/chars/tyris/0129
	frame	data/chars/tyris/0129
	frame	data/chars/tyris/0129
	frame	data/chars/tyris/0129
	frame	data/chars/tyris/0129
	delay	1
	frame	data/chars/tyris/0129

anim	get
	loop	0
	delay	150
	offset	60 98
	frame	data/chars/tyris/0127
	delay	20
	frame	data/chars/tyris/0119
	delay	8
	frame	data/chars/tyris/0120
	move	9
	frame	data/chars/tyris/0117
	move	0
	frame	data/chars/tyris/0075

anim	grab
	loop	0
	delay	12
	offset	60 98
	bbox	47 44 23 54
	frame	data/chars/tyris/0060
	bbox	55 55 2043 46
	frame	data/chars/tyris/0060

anim	grabattack
	loop	0
	offset	60 98
	bbox	49 51 22 47
	delay	6
	frame	data/chars/tyris/0082
	bbox	64 41 17 57
	frame	data/chars/tyris/0083
	bbox	60 39 19 59
	frame	data/chars/tyris/0084
	attack1	74 54 28 26 5 1 1 1
	forcedirection	-1
	delay	20
	frame	data/chars/tyris/0085
	attack1	0 0 0 0 0
	delay	8
	frame	data/chars/tyris/0084
	bbox	64 41 17 57
	frame	data/chars/tyris/0083

anim	grabbackward

	delay	12
	offset	60 98
		bbox  49  46  21  51
		@cmd	bind0014 1 0
		@cmd bind0010 FLAG_MODE_0 ENT_SELF 0 10 165 -1 DIR_ADJ_OPP openborconstant("ANI_FOLLOW10") G_HELDP 0
	frame	data/chars/tyris/0130.png
		@cmd bind0010 FLAG_MODE_0 ENT_SELF 0 10 165 -1 DIR_ADJ_OPP openborconstant("ANI_FOLLOW10") G_HELDMP 0
	frame	data/chars/tyris/0198.png
		delay  10
		bbox  29  63  41  32
		@cmd	soun0005 ENT_SELF VOI_ATKH -1 1 0 0
		@cmd bind0010 FLAG_MODE_0 ENT_SELF 0 -10 165 -1 DIR_ADJ_OPP openborconstant("ANI_FOLLOW10") G_TLTDN 0
	frame	data/chars/tyris/0194.png
		bbox  19  63  43  35
		@cmd bind0010 FLAG_MODE_0 ENT_SELF 0 -1 1 0 0
	frame	data/chars/tyris/0195.png
		delay  30
		@cmd bind0010 FLAG_MODE_0 ENT_SELF 0 -50 20 -1 DIR_ADJ_SAME openborconstant("ANI_FOLLOW10") G_RELEASE 0
		@cmd dama0004 0 -2 0 0 openborconstant("ATK_NORMAL5") -1 1 0 0
	frame	data/chars/tyris/0196.png
		delay  15
		bbox  18  66  53  32
	frame	data/chars/tyris/0197.png
		move  -15
